"Storelocator","Storelocator"
"Storelocators","Storelocators"
"RonisBT","RonisBT"
"Enabled","Enabled"
"Disabled","Disabled"
"Store Locator","Store Locator"
"Raw text","Raw text"
"Settings","Settings"
